"key","severity","issue","english","translation"
"refer_legal_fraud","LOST-UNICODE-ESCAPE","unicode escape present in English but not translation","\u2022 Fraudulent activity will result in account suspension","• మోసపూరిత కార్యకలాపం ఖాతా నిలుపుదలకు దారి తీస్తుంది"
"refer_legal_kyc","LOST-UNICODE-ESCAPE","unicode escape present in English but not translation","\u2022 KYC required for withdrawals > \u20B910,000/year","• ₹10,000/సంవత్సరం కంటే ఎక్కువ ఉపసంహరణలకు KYC అవసరం"
"refer_legal_not_pyramid","LOST-UNICODE-ESCAPE","unicode escape present in English but not translation","\u2022 This is a legitimate referral program, not a pyramid scheme","• ఇది చట్టబద్ధమైన రెఫరల్ ప్రోగ్రామ్, పిరమిడ్ స్కీమ్ కాదు"
"refer_legal_pan","LOST-UNICODE-ESCAPE","unicode escape present in English but not translation","\u2022 PAN card mandatory for withdrawals > \u20B950,000/year","• ₹50,000/సంవత్సరం కంటే ఎక్కువ ఉపసంహరణలకు PAN కార్డ్ తప్పనిసరి"
"refer_legal_taxable","LOST-UNICODE-ESCAPE","unicode escape present in English but not translation","\u2022 Referral rewards are taxable income under Indian tax laws","• రెఫరల్ రివార్డ్‌లు భారత పన్ను చట్టాల ప్రకారం పన్ను విధించదగిన ఆదాయం"
"refer_share_friend_bonus","LOST-UNICODE-ESCAPE","unicode escape present in English but not translation","Share this code \u2192 friend gets \u20B9%1$d bonus!","ఈ కోడ్ షేర్ చేయండి → స్నేహితుడికి ₹%1$d బోనస్!"
"applied_jobs","INCONSISTENT","same English has 2 different translations","Applied Jobs","దరఖాస్తు చేసిన ఉద్యోగాలు"
"are_you_sure_logout","INCONSISTENT","same English has 2 different translations","Are you sure you want to logout?","మీరు లాగ్ అవుట్ అవ్వాలనుకుంటున్నారా?"
"auth_enter_otp","INCONSISTENT","same English has 2 different translations","Enter OTP","OTP ఎంటర్ చేయండి"
"auth_resend_otp","INCONSISTENT","same English has 2 different translations","Resend OTP","మళ్లీ పంపు (Resend)"
"auto_complete","INCONSISTENT","same English has 2 different translations","Complete","పూర్తి చేయండి"
"auto_complete_your_profile","INCONSISTENT","same English has 2 different translations","Complete Your Profile","మీ ప్రొఫైల్ పూర్తి చేయండి"
"auto_delete","INCONSISTENT","same English has 2 different translations","Delete","తొలగించు"
