"key","severity","issue","english","translation"
"all","INCONSISTENT","same English has 2 different translations","All","सभी"
"all_jobs","INCONSISTENT","same English has 2 different translations","All Jobs","सभी काम"
"auth_privacy_policy","INCONSISTENT","same English has 2 different translations","Privacy Policy","गोपनीयता नीति"
"auth_resend_otp","INCONSISTENT","same English has 2 different translations","Resend OTP","पुनः भेजें (Resend)"
"auth_terms_of_service","INCONSISTENT","same English has 2 different translations","Terms of Service","सेवा की शर्तें"
"auto_complete","INCONSISTENT","same English has 2 different translations","Complete","पूर्ण"
"auto_job_description","INCONSISTENT","same English has 2 different translations","Job Description","कार्य का विवरण"
"auto_job_details","INCONSISTENT","same English has 2 different translations","Job Details","कार्य विवरण"
"auto_no_internet_connection","INCONSISTENT","same English has 2 different translations","No internet connection","इंटरनेट कनेक्शन नहीं है"
"auto_post_job","INCONSISTENT","same English has 2 different translations","Post Job","काम पोस्ट करें"
"bottom_nav_jobs","INCONSISTENT","same English has 2 different translations","Jobs","काम"
"bottom_nav_my_jobs","INCONSISTENT","same English has 2 different translations","My Jobs","मेरे काम"
"complete_profile","INCONSISTENT","same English has 2 different translations","Complete","पूरा करें"
"done_button","INCONSISTENT","same English has 2 different translations","Done","हो गया"
"done_status","INCONSISTENT","same English has 2 different translations","Done","पूर्ण"
"employer","INCONSISTENT","same English has 2 different translations","Employer","एम्प्लॉयर (मालिक)"
"employer_label","INCONSISTENT","same English has 2 different translations","Employer","नियोक्ता"
"hired","INCONSISTENT","same English has 2 different translations","Hired","रखे गए"
"in_progress","INCONSISTENT","same English has 2 different translations","In Progress","प्रगति पर है"
"job_description_label","INCONSISTENT","same English has 2 different translations","Job Description","नौकरी का विवरण"
"jobs_near_you","INCONSISTENT","same English has 2 different translations","Jobs Near You","आपके पास के काम"
"jobs_near_you_map","INCONSISTENT","same English has 2 different translations","Jobs Near You","आपके पास की नौकरियाँ"
"jobs_plural","INCONSISTENT","same English has 2 different translations","Jobs","नौकरियाँ"
"jobs_something_went_wrong","INCONSISTENT","same English has 2 different translations","Something went wrong","कुछ गड़बड़ हो गई"
"map_all","INCONSISTENT","same English has 2 different translations","All","All"
"map_per_day","INCONSISTENT","same English has 2 different translations","/day","/day"
"my_jobs","INCONSISTENT","same English has 2 different translations","My Jobs","मेरे पोस्ट किए गए काम"
"no_jobs_found","INCONSISTENT","same English has 2 different translations","No jobs found","कोई काम नहीं मिला"
"no_jobs_found_error","INCONSISTENT","same English has 2 different translations","No jobs found","कोई नौकरी नहीं मिली"
"notif_retry","INCONSISTENT","same English has 2 different translations","Retry","फिर कोशिश करें"
"notif_type_recommended","INCONSISTENT","same English has 2 different translations","Recommended","सुझाई गई"
"notif_type_shortlisted","INCONSISTENT","same English has 2 different translations","Shortlisted","शॉर्टलिस्ट हुआ"
"offline_message_compact","INCONSISTENT","same English has 2 different translations","No internet connection","इंटरनेट कनेक्शन नहीं"
"per_day","INCONSISTENT","same English has 2 different translations","/day","/दिन"
"post_job_button","INCONSISTENT","same English has 2 different translations","Post Job","नौकरी पोस्ट करें"
"privacy_policy","INCONSISTENT","same English has 2 different translations","Privacy Policy","गोपनीयता नीति (Privacy Policy)"
"recommended","INCONSISTENT","same English has 2 different translations","Recommended","अनुशंसित"
"resend_otp","INCONSISTENT","same English has 2 different translations","Resend OTP","ओटीपी पुनः भेजें"
"retry","INCONSISTENT","same English has 2 different translations","Retry","पुनः प्रयास करें"
"role_worker","INCONSISTENT","same English has 2 different translations","Worker","कर्मचारी"
"share_job","INCONSISTENT","same English has 2 different translations","Share Job","शेयर करें"
"share_job_content_description","INCONSISTENT","same English has 2 different translations","Share Job","नौकरी शेयर करें"
"shortlisted","INCONSISTENT","same English has 2 different translations","Shortlisted","शॉर्टलिस्ट किए गए"
"something_went_wrong","INCONSISTENT","same English has 2 different translations","Something went wrong","कुछ गलत हो गया"
"status_hired","INCONSISTENT","same English has 2 different translations","Hired","चयनित"
"status_in_progress","INCONSISTENT","same English has 2 different translations","In Progress","चल रहा है"
"step_job_details","INCONSISTENT","same English has 2 different translations","Job Details","नौकरी का विवरण"
"tab_all_jobs","INCONSISTENT","same English has 2 different translations","All Jobs","सभी नौकरियाँ"
"terms_of_service","INCONSISTENT","same English has 2 different translations","Terms of Service","सेवा की शर्तें (Terms of Service)"
