about_emp_cat_event	इवेंट और कैटरिंग स्टाफ़
about_emp_why_quick_hiring	तेज़ भर्ती प्रक्रिया
about_emp_why_verified_db	सत्यापित कर्मचारी डेटाबेस
about_emp_why_cost_effective	किफ़ायती समाधान
about_emp_why_24_7	24/7 प्लेटफ़ॉर्म पहुँच
about_emp_why_support	समर्पित सहायता टीम
about_emp_val_efficiency	भर्ती में कुशलता
about_emp_val_reliability	भरोसा जिस पर यकीन हो
about_emp_val_transparency	हर लेन-देन में पारदर्शिता
about_emp_val_empowerment	व्यवसायों का सशक्तिकरण
about_made_in_bharat	भारत में 💙 से बना
about_version_format	संस्करण %1$s
contact_us_need_help	मदद चाहिए?
contact_us_subtitle	हम मदद के लिए यहाँ हैं। चुनें कि आप हमसे कैसे संपर्क करना चाहते हैं।
email_subject_support_request	DutyPe सहायता अनुरोध
help_hero_title	हम कैसे मदद कर सकते हैं?
help_hero_subtitle	गाइड खोजें, सामान्य प्रश्न देखें, या सीधे हमसे बात करें।
guide_getting_started_content	1. अपने कौशल और स्थान के साथ कर्मचारी प्रोफ़ाइल पूरी करें\n2. अपना फ़ोन और प्रोफ़ाइल फ़ोटो अपडेट रखें\n3. नौकरियाँ छूटने से बचने के लिए सूचनाएँ चालू करें
guide_finding_jobs_content	1. श्रेणी टैब और फ़िल्टर इस्तेमाल करें\n2. पास की नौकरियों के लिए लोकेशन चालू रखें\n3. जल्दी दोबारा देखने के लिए नौकरियाँ सहेजें
guide_applying_work_content	1. नौकरी का विवरण खोलें और आवेदन करें\n2. मेरी नौकरियाँ में स्थिति देखें\n3. काम शुरू करते समय QR सत्यापन इस्तेमाल करें
guide_building_reputation_content	1. नौकरियाँ समय पर पूरी करें\n2. बातचीत पेशेवर रखें\n3. अच्छी रेटिंग और पूरी प्रोफ़ाइल बनाए रखें
guide_getting_paid_content	1. शुरू करने से पहले वेतन की शर्तें पक्की करें\n2. काम शुरू और खत्म करने के लिए ऐप का QR इस्तेमाल करें\n3. OTP/UPI PIN कभी किसी के साथ साझा न करें
faq_not_seeing_jobs_answer	लोकेशन अनुमति चालू करें, सही शहर चुनें, और अलग-अलग टैब (घंटे/दैनिक/पार्ट-टाइम) देखें।
faq_track_application_answer	मेरी नौकरियाँ या आवेदन की गई नौकरियाँ खोलें। वहाँ आप लंबित, शॉर्टलिस्टेड, स्वीकृत या अस्वीकृत स्थिति देख सकते हैं।
faq_contact_support_answer	ऊपर व्हाट्सएप सहायता पर टैप करें, या ईमेल से संपर्क करने के लिए हमसे संपर्क करें इस्तेमाल करें। तेज़ मदद के लिए स्क्रीनशॉट भेजें।
faq_improve_trust_answer	प्रोफ़ाइल विवरण पूरा करें, कार्य इतिहास सही रखें, और पूरी की गई नौकरियों से अच्छी रेटिंग जुटाएँ।
faq_personal_data_safe_answer	आपके संपर्क विवरण आवेदन करने के बाद ही नियोक्ता के साथ साझा किए जाते हैं। हम आपका डेटा कभी नहीं बेचते।
faq_cant_apply_answer	अपना इंटरनेट कनेक्शन जाँचें, ऐप दोबारा चालू करें, और सुनिश्चित करें कि प्रोफ़ाइल पूरी है। समस्या बनी रहे तो नीचे से शिकायत करें।
whatsapp_worker_message	नमस्ते DutyPe टीम! मैं DutyPe पर एक कर्मचारी हूँ और मुझे ऐप में मदद चाहिए।
email_subject_worker_support	कर्मचारी सहायता
no_matching_topics	कोई मेल खाता विषय नहीं
no_matching_topics_hint	कोई दूसरा शब्द आज़माएँ या व्हाट्सएप पर संदेश भेजें।
tutorial_getting_started_title	DutyPe के साथ शुरुआत करें
tutorial_step1_title	अपनी प्रोफ़ाइल बनाएँ
