auto_made_with	తయారీ 
auto_in_bharat	 భారత్‌లో
auto_use_a_referral_code_to_unlock_your_rs_20_s	మీ Rs.20 సైన్ అప్ బోనస్‌ను అన్‌లాక్ చేయడానికి రెఫరల్ కోడ్‌ను ఉపయోగించండి
auto_a_clear_job_photo_helps_workers_understand	స్పష్టమైన ఉద్యోగ ఫోటో ఉంటే కార్మికులు ఆ ప్రదేశాన్ని అర్థం చేసుకుని మరింత నమ్మకంతో దరఖాస్తు చేస్తారు.
auto_enter_amount_range_10000_15000_or_text_bas	మొత్తం, శ్రేణి (10000-15000), లేదా వచనం (అనుభవం ఆధారంగా) నమోదు చేయండి
auto_new_matches_are_hidden_accepted_workers_wi	కొత్త మ్యాచ్‌లు దాచబడ్డాయి. ఎంపికైన కార్మికులు ఇక్కడే కనిపిస్తారు.
auto_you_need_an_active_subscription_to_view_wo	కార్మికుల సంప్రదింపు వివరాలు చూడటానికి మీకు యాక్టివ్ సబ్‌స్క్రిప్షన్ అవసరం. ప్రీమియం ఫీచర్లను పొందడానికి ఇప్పుడే సబ్‌స్క్రైబ్ చేయండి.
auto_no_hired_workers_selected_yet_for_this_fil	ఈ భర్తీ అయిన ఉద్యోగానికి ఇంకా ఎవరినీ నియమించలేదు.
auto_choose_the_posting_format_that_fits_your_i	మీ తక్షణ సిబ్బంది అవసరానికి సరిపోయే పోస్టింగ్ ఫార్మాట్‌ను ఎంచుకోండి.
auto_complete_your_profile_to_access_all_featur	అన్ని ఫీచర్లను పొందడానికి, మెరుగైన అభ్యర్థులను ఆకర్షించడానికి మీ ప్రొఫైల్‌ను పూర్తి చేయండి
auto_payments_are_non_refundable_verify_your_ut	చెల్లింపులు తిరిగి ఇవ్వబడవు. సమర్పించే ముందు మీ UTRని ధృవీకరించండి.
